Division,Line,Week Ending,Cost of Goods,Revenue,Sales Volume,Unit Cost,Unit Price,Discounted Unit Price,Banner Ad (Impressions),Paid Search (Impressions),Flyer (Pages),Newspaper (Pages)
1,1012,39452,0,0,0,332.3784,449.16,359.328,1022,3465,0.000414,0
1,1012,39459,0,0,0,332.3784,440.1768,374.15028,880,2769,0.007526,0
1,1012,39466,0,0,0,332.3784,440.1768,330.1326,817,0,0.045011,0
1,1012,39473,0,0,0,332.3784,431.1936,344.95488,672,1132,0.035511,0
1,1012,39480,0,0,0,332.3784,462.6348,370.10784,551,13,0.094512,0
1,1012,39487,0,0,0,332.3784,440.1768,308.12376,527,7,0.009136,0
1,1012,39494,0,0,0,332.3784,444.6684,311.26788,409,16,0.000169,0
1,1012,39501,0,0,0,332.3784,458.1432,320.70024,364,8,0.00009,0
1,1012,39508,0,0,0,332.3784,471.618,448.0371,335,17,0.000128,0
1,1012,39515,0,0,0,332.3784,431.1936,344.95488,266,4825,0.000116,0
1,1012,39522,0,0,0,332.3784,458.1432,458.1432,209,864,0.000237,0
1,1012,39529,0,0,0,332.3784,435.6852,348.54816,350,10,0.045522,0
1,1012,39536,0,0,0,332.3784,444.6684,400.20156,1071,1815,0.010415,0
1,1012,39543,0,0,0,332.3784,458.1432,343.6074,964,6,0.000134,0
1,1012,39550,0,0,0,332.3784,462.6348,439.50306,891,3558,0.025221,0
1,1012,39557,0,0,0,332.3784,435.6852,348.54816,763,1185,0.00007,0
1,1012,39564,0,0,0,332.3784,458.1432,343.6074,599,3,0.048751,0
1,1012,39571,0,0,0,332.3784,471.618,424.4562,503,9,0.011742,0
1,1012,39578,0,0,0,332.3784,431.1936,366.51456,418,42,0.000037,0
1,1012,39585,0,0,0,332.3784,435.6852,348.54816,415,15,0.000124,0
1,1012,39592,0,0,0,332.3784,431.1936,431.1936,337,19,0.0004,0
1,1012,39599,0,0,0,332.3784,440.1768,352.14144,284,100,0.000186,0
1,1012,39606,0,0,0,332.3784,458.1432,458.1432,264,184,0.000206,0
1,1012,39613,0,0,0,332.3784,440.1768,352.14144,196,1025,0.001125,0
1,1012,39620,0,0,0,332.3784,444.6684,444.6684,195,4724,0.001704,0
1,1012,39627,0,0,0,332.3784,453.6516,453.6516,821,9613,0.012509,0
1,1012,39634,0,0,0,332.3784,458.1432,343.6074,827,22123,0.037792,0
1,1012,39641,0,0,0,332.3784,426.702,362.6967,688,7498,0.07816,0
1,1012,39648,0,0,0,332.3784,431.1936,388.07424,631,5998,0.294985,0
1,1012,39655,0,0,0,332.3784,431.1936,409.63392,566,1726,0.102717,0
1,1012,39662,0,0,0,332.3784,453.6516,408.28644,531,6089,0.04877,0
1,1012,39669,0,0,0,332.3784,431.1936,409.63392,461,1411,0.015551,0
1,1012,39676,0,0,0,332.3784,426.702,320.0265,365,37,0.069198,0.000458
1,1012,39683,0,0,0,332.3784,431.1936,366.51456,327,32,0.017007,0.000762
1,1012,39690,0,0,0,332.3784,435.6852,370.33242,282,58,0.00039,0
1,1012,39697,0,0,0,332.3784,471.618,353.7135,250,36,0.000262,0
1,1012,39704,0,0,0,332.3784,471.618,400.8753,200,9,0.00061,0
1,1012,39711,0,0,0,332.3784,426.702,426.702,155,24,0.00042,0
1,1012,39718,0,0,0,332.3784,431.1936,431.1936,829,33,0.000121,0
1,1012,39725,0,0,0,332.3784,444.6684,355.73472,716,43,0.000232,0
1,1012,39732,0,0,0,332.3784,449.16,359.328,526,22,0.000265,0
1,1012,39739,0,0,0,332.3784,453.6516,362.92128,549,35,0.000406,0
1,1012,39746,0,0,0,332.3784,449.16,381.786,410,8,0.000306,0
